Reaction ID	Reaction Name	Equation	Compartment	Pathway	Pathway index	E.C number	Vc/Vo=inf	Vc/Vo=1000	Vc/Vo=160	Vc/Vo=80	Vc/Vo=40	Vc/Vo=20	Vc/Vo=10	Vc/Vo=5	Vc/Vo=3	Vc/Vo=2
SUPEROX_DISMUT_RXN_c2	SUPEROX-DISMUT-RXN:Superoxide dismutase	2.0 PROTON_c2 + 2.0 SUPER_OXIDE_c2 --> HYDROGEN_PEROXIDE_c2 + OXYGEN_MOLECULE_c2	c2	removal of superoxide radicals	109	1.15.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUPEROX_DISMUT_RXN_c1	SUPEROX-DISMUT-RXN:Superoxide dismutase	2.0 PROTON_c1 + 2.0 SUPER_OXIDE_c1 --> HYDROGEN_PEROXIDE_c1 + OXYGEN_MOLECULE_c1	c1	removal of superoxide radicals	109	1.15.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAL_PROTON_vc2	MAL_PROTON_vc	MAL_c2 + 1.44 PROTON_v2 --> 0.56 aMAL_v2 + 0.44 aaMAL_v2	c2v2	Intracellular transport	115	NA	15.4312122719	15.4140241782	15.3241322538	15.2178692397	15.0077571061	14.596936337	13.8117946155	12.3693297655	10.6824213159	8.86675174994
H2O_xc1	H2O_xc	WATER_x1 <=> WATER_c1	c1x1	Intracellular transport	115	NA	0.0	0.0154540590817	0.0962771646736	0.191819749339	0.380734552332	0.750109339194	1.45660196014	2.75363770472	4.27641014537	5.90951887253
SERINE_O_ACETTRAN_RXN_c2	SERINE-O-ACETTRAN-RXN:Serine O-acetyltransferase	ACETYL_COA_c2 + SER_c2 --> ACETYLSERINE_c2 + CO_A_c2	c2		116	2.3.1.30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SERINE_O_ACETTRAN_RXN_c1	SERINE-O-ACETTRAN-RXN:Serine O-acetyltransferase	ACETYL_COA_c1 + SER_c1 --> ACETYLSERINE_c1 + CO_A_c1	c1		116	2.3.1.30	0.000478479119909	0.000477822021321	0.000474385464734	0.00047032304352	0.000462290483946	0.000446584859328	0.000416540285442	0.000361389961524	0.000296622164152	0.00022709009585
6PGLUCONOLACT_RXN_c2	6PGLUCONOLACT-RXN:NIL	D_6_P_GLUCONO_DELTA_LACTONE_c2 + WATER_c2 --> CPD_2961_c2 + PROTON_c2	c2	Pentose phosphate pathway	5	3.1.1.31	0.620779906737	0.620949973968	0.621839407716	0.622890824732	0.62496977494	0.629034632371	0.636561152718	0.650752637974	0.667855754132	0.683646962708
Ca_tx1	Ca_tx	 <=> CAII_e1	e1	Nutrient uptake	113	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6PGLUCONOLACT_RXN_c1	6PGLUCONOLACT-RXN:NIL	D_6_P_GLUCONO_DELTA_LACTONE_c1 + WATER_c1 --> CPD_2961_c1 + PROTON_c1	c1	Pentose phosphate pathway	5	3.1.1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ca_tx2	Ca_tx	 <=> CAII_e2	e2	Nutrient uptake	113	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66_1_c2	RXN66-1:NIL	ETOH_c2 + HYDROGEN_PEROXIDE_c2 --> ACETALD_c2 + 2.0 WATER_c2	c2	oxidative ethanol degradation	49	1.11.1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66_1_c1	RXN66-1:NIL	ETOH_c1 + HYDROGEN_PEROXIDE_c1 --> ACETALD_c1 + 2.0 WATER_c1	c1	oxidative ethanol degradation	49	1.11.1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLY_xc2	GLY_xc	GLY_x2 <=> GLY_c2	x2c2	Intracellular transport	115	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00483947449434
GLY_xc1	GLY_xc	GLY_x1 <=> GLY_c1	c1x1	Intracellular transport	115	NA	0.0111084753259	0.0265472790638	0.107290600811	0.202738871421	0.391467188765	0.760477350428	1.46515229427	2.7610559666	4.28249891685	5.9141803573
RXN_9653_p2	RXN-9653:3-oxoacyl-[acyl-carrier protein] synthase	Dodecanoyl_ACPs_p2 + MALONYL_COA_p2 + PROTON_p2 --> 3_oxo_myristoyl_ACPs_p2 + CARBON_DIOXIDE_p2 + CO_A_p2	p2	NA	20	2.3.1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUCROSE_PROTON_rev_vc1	SUCROSE_PROTON_rev_vc	PROTON_v1 + SUCROSE_v1 --> PROTON_c1 + SUCROSE_c1	v1c1		116	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.64056433257e-17	0.0	0.0
RXN_9653_p1	RXN-9653:3-oxoacyl-[acyl-carrier protein] synthase	Dodecanoyl_ACPs_p1 + MALONYL_COA_p1 + PROTON_p1 --> 3_oxo_myristoyl_ACPs_p1 + CARBON_DIOXIDE_p1 + CO_A_p1	p1	NA	20	2.3.1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NADPPHOSPHAT_RXN_c1	NADPPHOSPHAT-RXN:NIL	NADP_c1 + 0.3 PROTON_c1 + WATER_c1 --> NAD_c1 + 0.7 Pi_c1 + 0.3 aPi_c1	c1	NAD/NADH phosphorylation and dephosphorylation	106	3.1.3	0.0	0.0	0.0	4.33680868994e-16	0.0	-3.65430342236e-16	0.0	5.89318090854e-16	3.84566510581e-16	0.0
NADPPHOSPHAT_RXN_c2	NADPPHOSPHAT-RXN:NIL	NADP_c2 + 0.3 PROTON_c2 + WATER_c2 --> NAD_c2 + 0.7 Pi_c2 + 0.3 aPi_c2	c2	NAD/NADH phosphorylation and dephosphorylation	106	3.1.3	8.50014503229e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUCROSE_PROTON_rev_vc2	SUCROSE_PROTON_rev_vc	PROTON_v2 + SUCROSE_v2 --> PROTON_c2 + SUCROSE_c2	c2v2		116	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRO_PROTON_vc2	PRO_PROTON_vc	PROTON_v2 + PRO_c2 --> PROTON_c2 + PRO_v2	c2v2		116	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PYRUVATE_PROTON_mc2	PYRUVATE_PROTON_mc	PROTON_m2 + PYRUVATE_m2 <=> PROTON_c2 + PYRUVATE_c2	c2m2	Intracellular transport	115	NA	-1.04019204513	-1.03958681277	-1.03642151109	-1.03267974605	-1.02528121354	-1.01081526816	-0.982770456013	-0.932006990011	-0.871569757545	-0.807545744171
CYTOCHROME_C_OXIDASE_RXN_mi1	CYTOCHROME-C-OXIDASE-RXN:Cytochrome-c oxidase	4.0 Cytochromes_C_Reduced_mi1 + OXYGEN_MOLECULE_m1 + 8.0 PROTON_m1 --> 4.0 Cytochromes_C_Oxidized_mi1 + 4.0 PROTON_i1 + 2.0 WATER_m1	i1mi1m1	Mitochondrial electron transport chain	3	1.9.3.1	7.85768987959	7.85210122896	7.82287317324	7.788322113	7.72000486206	7.58642787596	7.33087861314	6.86201372435	6.31391521472	5.72455127519
SUC_FUM_mc1	SUC_FUM_mc	FUM_c1 + SUC_m1 <=> FUM_m1 + SUC_c1	c1m1	Intracellular transport	115	NA	0.000717718679864	0.0	0.000711578197101	0.0	0.0	0.000669877288992	0.0	0.000632432432708	0.0	0.000397407667736
O2_mc1	O2_mc	OXYGEN_MOLECULE_m1 <=> OXYGEN_MOLECULE_c1	c1m1	Intracellular transport	115	NA	-7.85768987959	-7.85210122896	-7.82287317324	-7.788322113	-7.72000486206	-7.58642787596	-7.33087861314	-6.86201372435	-6.31391521472	-5.72455127519
