Reaction ID	Reaction Name	Equation	Compartment	Pathway	Pathway index	E.C number	Vc/Vo=inf	Vc/Vo=1000	Vc/Vo=160	Vc/Vo=80	Vc/Vo=40	Vc/Vo=20	Vc/Vo=10	Vc/Vo=5	Vc/Vo=3	Vc/Vo=2
SUPEROX_DISMUT_RXN_c2	SUPEROX-DISMUT-RXN:Superoxide dismutase	2.0 PROTON_c2 + 2.0 SUPER_OXIDE_c2 --> HYDROGEN_PEROXIDE_c2 + OXYGEN_MOLECULE_c2	c2	removal of superoxide radicals	109	1.15.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUPEROX_DISMUT_RXN_c1	SUPEROX-DISMUT-RXN:Superoxide dismutase	2.0 PROTON_c1 + 2.0 SUPER_OXIDE_c1 --> HYDROGEN_PEROXIDE_c1 + OXYGEN_MOLECULE_c1	c1	removal of superoxide radicals	109	1.15.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAL_PROTON_vc2	MAL_PROTON_vc	MAL_c2 + 1.44 PROTON_v2 --> 0.56 aMAL_v2 + 0.44 aaMAL_v2	c2v2	Intracellular transport	115	NA	16.7420322809	16.7218207433	16.6161778853	16.4914281028	16.2451847127	15.7662694505	14.8542178199	13.2044014687	11.2929809112	9.28111383159
H2O_xc1	H2O_xc	WATER_x1 <=> WATER_c1	c1x1	Intracellular transport	115	NA	0.0	0.0167487220851	0.104291931681	0.207668502113	0.411723344104	0.809262973158	1.56500603111	2.93533641593	4.51864011192	6.18564545225
SERINE_O_ACETTRAN_RXN_c2	SERINE-O-ACETTRAN-RXN:Serine O-acetyltransferase	ACETYL_COA_c2 + SER_c2 --> ACETYLSERINE_c2 + CO_A_c2	c2		116	2.3.1.30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SERINE_O_ACETTRAN_RXN_c1	SERINE-O-ACETTRAN-RXN:Serine O-acetyltransferase	ACETYL_COA_c1 + SER_c1 --> ACETYLSERINE_c1 + CO_A_c1	c1		116	2.3.1.30	0.000528078273356	0.000527306339269	0.000523271548603	0.000518507012057	0.000509102301221	0.000490776378015	0.000455945095591	0.000392770779946	0.000319800916969	0.000242901127473
6PGLUCONOLACT_RXN_c2	6PGLUCONOLACT-RXN:NIL	D_6_P_GLUCONO_DELTA_LACTONE_c2 + WATER_c2 --> CPD_2961_c2 + PROTON_c2	c2	Pentose phosphate pathway	5	3.1.1.31	0.608439483464	0.608638545968	0.609679017615	0.610907672483	0.613332912302	0.617597534157	0.62661238162	0.641902562205	0.66099536644	0.679401908513
Ca_tx1	Ca_tx	 <=> CAII_e1	e1	Nutrient uptake	113	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6PGLUCONOLACT_RXN_c1	6PGLUCONOLACT-RXN:NIL	D_6_P_GLUCONO_DELTA_LACTONE_c1 + WATER_c1 --> CPD_2961_c1 + PROTON_c1	c1	Pentose phosphate pathway	5	3.1.1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ca_tx2	Ca_tx	 <=> CAII_e2	e2	Nutrient uptake	113	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66_1_c2	RXN66-1:NIL	ETOH_c2 + HYDROGEN_PEROXIDE_c2 --> ACETALD_c2 + 2.0 WATER_c2	c2	oxidative ethanol degradation	49	1.11.1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66_1_c1	RXN66-1:NIL	ETOH_c1 + HYDROGEN_PEROXIDE_c1 --> ACETALD_c1 + 2.0 WATER_c1	c1	oxidative ethanol degradation	49	1.11.1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLY_xc2	GLY_xc	GLY_x2 <=> GLY_c2	x2c2	Intracellular transport	115	NA	0.0	0.0	0.0	0.0	0.0	0.0	6.05568873226e-18	0.0	0.0	-0.00517642043099
GLY_xc1	GLY_xc	GLY_x1 <=> GLY_c1	c1x1	Intracellular transport	115	NA	0.0122599800611	0.0289907807565	0.116440317775	0.21970627369	0.423542773869	0.819337153642	1.57436522888	2.94339883275	4.52520467431	6.19063149051
RXN_9653_p2	RXN-9653:3-oxoacyl-[acyl-carrier protein] synthase	Dodecanoyl_ACPs_p2 + MALONYL_COA_p2 + PROTON_p2 --> 3_oxo_myristoyl_ACPs_p2 + CARBON_DIOXIDE_p2 + CO_A_p2	p2	NA	20	2.3.1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUCROSE_PROTON_rev_vc1	SUCROSE_PROTON_rev_vc	PROTON_v1 + SUCROSE_v1 --> PROTON_c1 + SUCROSE_c1	v1c1		116	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN_9653_p1	RXN-9653:3-oxoacyl-[acyl-carrier protein] synthase	Dodecanoyl_ACPs_p1 + MALONYL_COA_p1 + PROTON_p1 --> 3_oxo_myristoyl_ACPs_p1 + CARBON_DIOXIDE_p1 + CO_A_p1	p1	NA	20	2.3.1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NADPPHOSPHAT_RXN_c1	NADPPHOSPHAT-RXN:NIL	NADP_c1 + 0.3 PROTON_c1 + WATER_c1 --> NAD_c1 + 0.7 Pi_c1 + 0.3 aPi_c1	c1	NAD/NADH phosphorylation and dephosphorylation	106	3.1.3	0.0	0.0	-1.66967134563e-17	-3.57461456268e-16	0.0	0.0	-1.09249631911e-15	0.0	0.0	0.0
NADPPHOSPHAT_RXN_c2	NADPPHOSPHAT-RXN:NIL	NADP_c2 + 0.3 PROTON_c2 + WATER_c2 --> NAD_c2 + 0.7 Pi_c2 + 0.3 aPi_c2	c2	NAD/NADH phosphorylation and dephosphorylation	106	3.1.3	0.0	6.66133814775e-16	6.66133814775e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUCROSE_PROTON_rev_vc2	SUCROSE_PROTON_rev_vc	PROTON_v2 + SUCROSE_v2 --> PROTON_c2 + SUCROSE_c2	c2v2		116	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRO_PROTON_vc2	PRO_PROTON_vc	PROTON_v2 + PRO_c2 --> PROTON_c2 + PRO_v2	c2v2		116	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PYRUVATE_PROTON_mc2	PYRUVATE_PROTON_mc	PROTON_m2 + PYRUVATE_m2 <=> PROTON_c2 + PYRUVATE_c2	c2m2	Intracellular transport	115	NA	-1.08438642555	-1.08367759967	-1.07997266671	-1.07559764705	-1.06696180294	-1.04970704539	-1.01775364523	-0.959500586394	-0.89258472754	-0.822032192308
CYTOCHROME_C_OXIDASE_RXN_mi1	CYTOCHROME-C-OXIDASE-RXN:Cytochrome-c oxidase	4.0 Cytochromes_C_Reduced_mi1 + OXYGEN_MOLECULE_m1 + 8.0 PROTON_m1 --> 4.0 Cytochromes_C_Oxidized_mi1 + 4.0 PROTON_i1 + 2.0 WATER_m1	i1mi1m1	Mitochondrial electron transport chain	3	1.9.3.1	6.53350097053	6.52903936088	6.50571915608	6.4781811802	6.42382401501	6.31789402263	6.11657757465	5.75449871373	5.33219738698	4.88710465643
SUC_FUM_mc1	SUC_FUM_mc	FUM_c1 + SUC_m1 <=> FUM_m1 + SUC_c1	c1m1	Intracellular transport	115	NA	0.000792117410033	0.0	0.0	0.000777760518085	0.0	0.0	0.000797903917283	0.000687348864905	0.000559651604695	0.000425076973078
O2_mc1	O2_mc	OXYGEN_MOLECULE_m1 <=> OXYGEN_MOLECULE_c1	c1m1	Intracellular transport	115	NA	-6.53350097053	-6.52903936088	-6.50571915608	-6.4781811802	-6.42382401501	-6.31789402263	-6.11657757465	-5.75449871373	-5.33219738698	-4.88710465643
